Entered Generation:  1												
Generation 1 - Current Pareto Front:												
Test R^2 	" 0.09508693464761053,"	Difference Score 	" 1.5086033062395885,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.1, RandomForestRegressor__min_samples_leaf"	"3, RandomForestRegressor__min_samples_split"	"6, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.0931661123376819,"	Difference Score 	" 1.708447963707009,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"False, RandomForestRegressor__max_features"	"0.3, RandomForestRegressor__min_samples_leaf"	"17, RandomForestRegressor__min_samples_split"	"6, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.06453773690287523,"	Difference Score 	" 1.7620831759640412,"	"Pipeline: RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.55, RandomForestRegressor__min_samples_leaf"	"18, RandomForestRegressor__min_samples_split"	"18, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.05982198354930035,"	Difference Score 	" 1.8356579405765978,"	"Pipeline: RandomForestRegressor(OverDominanceEncoder(input_matrix), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.1, RandomForestRegressor__min_samples_leaf"	"8, RandomForestRegressor__min_samples_split"	"12, RandomForestRegressor__n_estimators"	100)			
Test R^2 	" 0.04689181937401821,"	Difference Score 	" 1.979172238667149,"	"Pipeline: DecisionTreeRegressor(UnderDominanceEncoder(input_matrix), DecisionTreeRegressor__max_depth"	"5, DecisionTreeRegressor__min_samples_leaf"	"7, DecisionTreeRegressor__min_samples_split"	10)					
Test R^2 	" 0.046591060911427506,"	Difference Score 	" 3.135211431865081,"	"Pipeline: DecisionTreeRegressor(HeterosisEncoder(input_matrix), DecisionTreeRegressor__max_depth"	"3, DecisionTreeRegressor__min_samples_leaf"	"19, DecisionTreeRegressor__min_samples_split"	3)					
Test R^2 	" 0.0398595491028535,"	Difference Score 	" 3.6686671559491137,"	"Pipeline: DecisionTreeRegressor(UnderDominanceEncoder(input_matrix), DecisionTreeRegressor__max_depth"	"2, DecisionTreeRegressor__min_samples_leaf"	"5, DecisionTreeRegressor__min_samples_split"	8)					
Test R^2 	" 0.004757087965423845,"	Difference Score 	" 3.981515521870891,"	"Pipeline: DecisionTreeRegressor(input_matrix, DecisionTreeRegressor__max_depth"	"1, DecisionTreeRegressor__min_samples_leaf"	"12, DecisionTreeRegressor__min_samples_split"	16)					
*********************************************************************************************************************************************************************************												
Entered Generation:  2												
Generation 2 - Current Pareto Front:												
Test R^2 	" 0.10726203052134375,"	Difference Score 	" 1.3482583226307812,"	"Pipeline: RandomForestRegressor(HeterosisEncoder(input_matrix), RandomForestRegressor__bootstrap"	"True, RandomForestRegressor__max_features"	"0.25, RandomForestRegressor__min_samples_leaf"	"3, RandomForestRegressor__min_samples_split"	"6, RandomForestRegressor__n_estimators"	100)			
