Shap,SNP,group
0.027239,Pair1_A,green
0.022752,Pair1_A,green
0.023238,Pair1_A,green
0.0248,Pair1_A,green
0.021153,Pair1_A,green
0.020329,Pair1_A,green
0.018124,Pair1_A,green
0.016683,Pair1_A,green
0.019461,Pair1_A,green
0.018196,Pair1_A,green
0.016704,Pair1_A,green
0.016326,Pair1_A,green
0.016611,Pair1_A,green
0.016194,Pair1_A,green
0.019727,Pair1_A,green
0.017649,Pair1_A,green
0.018718,Pair1_A,green
0.017677,Pair1_A,green
0.019392,Pair1_A,green
0.01635,Pair1_A,green
0.022396,Pair1_A,green
0.022385,Pair1_A,green
0.021174,Pair1_A,green
0.014983,Pair1_A,green
0.013613,Pair1_A,green
0,Pair1_A,green
0,Pair1_A,green
0,Pair1_A,green
0,Pair1_A,green
0.029373,Pair1_B,green
0.024703,Pair1_B,green
0.025251,Pair1_B,green
0.025411,Pair1_B,green
0.022367,Pair1_B,green
0.021574,Pair1_B,green
0.021769,Pair1_B,green
0.019243,Pair1_B,green
0.019748,Pair1_B,green
0.02048,Pair1_B,green
0.01751,Pair1_B,green
0.019513,Pair1_B,green
0.017209,Pair1_B,green
0.01826,Pair1_B,green
0.019829,Pair1_B,green
0.017983,Pair1_B,green
0.017524,Pair1_B,green
0.018692,Pair1_B,green
0.017761,Pair1_B,green
0.016036,Pair1_B,green
0.022619,Pair1_B,green
0.02059,Pair1_B,green
0.020382,Pair1_B,green
0.014956,Pair1_B,green
0.01278,Pair1_B,green
0.021968,Pair1_B,green
0.022693,Pair1_B,green
0,Pair1_B,green
0.019003,Pair1_B,green
0.031286,Pair2_A,blue
0.032116,Pair2_A,blue
0.033346,Pair2_A,blue
0.029477,Pair2_A,blue
0.026886,Pair2_A,blue
0.028428,Pair2_A,blue
0.031976,Pair2_A,blue
0.030101,Pair2_A,blue
0.028884,Pair2_A,blue
0.028516,Pair2_A,blue
0.027641,Pair2_A,blue
0.030082,Pair2_A,blue
0.029314,Pair2_A,blue
0.033148,Pair2_A,blue
0.029709,Pair2_A,blue
0.028673,Pair2_A,blue
0.025868,Pair2_A,blue
0.027018,Pair2_A,blue
0.02383,Pair2_A,blue
0.025998,Pair2_A,blue
0.019949,Pair2_A,blue
0.020921,Pair2_A,blue
0.021055,Pair2_A,blue
0.018068,Pair2_A,blue
0.01992,Pair2_A,blue
0,Pair2_A,blue
0,Pair2_A,blue
0,Pair2_A,blue
0,Pair2_A,blue
0.02801,Pair2_B,blue
0.027377,Pair2_B,blue
0.029543,Pair2_B,blue
0.025304,Pair2_B,blue
0.023452,Pair2_B,blue
0.025476,Pair2_B,blue
0.025776,Pair2_B,blue
0.025435,Pair2_B,blue
0.022336,Pair2_B,blue
0.023993,Pair2_B,blue
0.023703,Pair2_B,blue
0.026422,Pair2_B,blue
0.024404,Pair2_B,blue
0.02566,Pair2_B,blue
0.023924,Pair2_B,blue
0.022662,Pair2_B,blue
0.020845,Pair2_B,blue
0.021126,Pair2_B,blue
0.018232,Pair2_B,blue
0.018124,Pair2_B,blue
0,Pair2_B,blue
0,Pair2_B,blue
0,Pair2_B,blue
0.012512,Pair2_B,blue
0.013538,Pair2_B,blue
0,Pair2_B,blue
0,Pair2_B,blue
0,Pair2_B,blue
0,Pair2_B,blue
0.017666,Pair3_A,red
0.02216,Pair3_A,red
0.021155,Pair3_A,red
0.018345,Pair3_A,red
0.02236,Pair3_A,red
0.021491,Pair3_A,red
0.026209,Pair3_A,red
0.030139,Pair3_A,red
0.015617,Pair3_A,red
0.033062,Pair3_A,red
0.033025,Pair3_A,red
0.023498,Pair3_A,red
0.031214,Pair3_A,red
0.029107,Pair3_A,red
0.019443,Pair3_A,red
0.016964,Pair3_A,red
0.019478,Pair3_A,red
0.018207,Pair3_A,red
0.012228,Pair3_A,red
0.008277,Pair3_A,red
0,Pair3_A,red
0,Pair3_A,red
0,Pair3_A,red
0.007507,Pair3_A,red
0.007789,Pair3_A,red
0,Pair3_A,red
0,Pair3_A,red
0,Pair3_A,red
0,Pair3_A,red
0.048962,Pair3_B,red
0.056858,Pair3_B,red
0.053956,Pair3_B,red
0.050615,Pair3_B,red
0.054216,Pair3_B,red
0.053764,Pair3_B,red
0.066598,Pair3_B,red
0.069306,Pair3_B,red
0.055493,Pair3_B,red
0.070382,Pair3_B,red
0.070382,Pair3_B,red
0.066034,Pair3_B,red
0.073879,Pair3_B,red
0.071214,Pair3_B,red
0.062171,Pair3_B,red
0.062143,Pair3_B,red
0.062711,Pair3_B,red
0.065002,Pair3_B,red
0.058351,Pair3_B,red
0.049408,Pair3_B,red
0.048814,Pair3_B,red
0.047185,Pair3_B,red
0.046596,Pair3_B,red
0.040151,Pair3_B,red
0.043136,Pair3_B,red
0,Pair3_B,red
0,Pair3_B,red
0,Pair3_B,red
0,Pair3_B,red
0.021377,Pair4_A,purple
0.021075,Pair4_A,purple
0.020032,Pair4_A,purple
0.020181,Pair4_A,purple
0.018227,Pair4_A,purple
0.017993,Pair4_A,purple
0.017117,Pair4_A,purple
0.01324,Pair4_A,purple
0.017209,Pair4_A,purple
0.012045,Pair4_A,purple
0.012455,Pair4_A,purple
0.017093,Pair4_A,purple
0.013796,Pair4_A,purple
0.014008,Pair4_A,purple
0.015219,Pair4_A,purple
0.016219,Pair4_A,purple
0.016073,Pair4_A,purple
0.014747,Pair4_A,purple
0.013132,Pair4_A,purple
0.013393,Pair4_A,purple
0.0183,Pair4_A,purple
0.017705,Pair4_A,purple
0.017486,Pair4_A,purple
0.011305,Pair4_A,purple
0.011027,Pair4_A,purple
0,Pair4_A,purple
0,Pair4_A,purple
